User_Account_ID	Email	Password	Salt	Patient_Num	Last_Name	First_Name	Middle_Initial	Dob	Hospital	Vaccine_Name1	Vaccine_Date1	Vaccine_Name2	Vaccine_Date2	Block_Hash
1	christopher.williams@abc.com	qRKfUOhC0LzRbj1SP5cfU7hDAN9hJlOmeJQLdg7Ls2k=	rvoikzgpq1HC2ZYdfNQfoQ==	6226	Williams	Christopher	F	1987-08-10	WilliamsMedicalCenter	Pfizer-AM3546	2021-02-16	Pfizer-AM3546	2021-03-15	None
2	kimberly.white@abc.com	Jogwy5aUs0RDy4gBfdkkZUtDcUttjKlUUyvoCR26u5k=	dldSpIU6iwSwlKS1f8Tg/w==	1571	White	Kimberly	E	1912-05-22	HarrisMedicalCenter	Pfizer-HR1967	2020-11-29	Pfizer-HR1967	2021-03-24	None
3	michelle.cruz@abc.com	bML6eoqyHx48tHxAT04WR1ronRjVRVp4Is+bquA9UP8=	ke2VULWMKXMJHpygtj2TCQ==	3261	Cruz	Michelle	A	1988-09-09	CruzMedicalCenter	Pfizer-VY8132	2020-12-10	Pfizer-VY8132	2021-02-24	None
4	christopher.clark@abc.com	JvRQizuWZaJINe31scGC6qDnpmpzvW6cCvfq4kWPqRI=	03MSWPf6UYK5sBQMKLGR8Q==	6914	Clark	Christopher	I	2003-07-03	BrownHospital	Moderna-BT8929	2020-12-12	Moderna-BT8929	2021-01-16	None
5	daniel.martinez@abc.com	tHTMJ2A3wf96OkiWXDdEPH/u025xxUWcmAr6w3Y/Ixo=	MyR3DqJCHJB/hw6SH2FzcQ==	8601	Martinez	Daniel	I	1930-09-14	MillerMedicalCenter	Moderna-HC9646	2021-03-06	Moderna-HC9646	2021-03-07	None
6	timothy.delany@abc.com	HadmeBJOxu+J1CeDeHz+OwytFRorhFKg5cvXLcy9FGE=	WIw2CjJSxS/Va70BalS5NQ==	3914	Delany	Timothy	I	1936-11-05	PetersonMedicalCenter	Pfizer-GY6449	2021-02-10	Pfizer-GY6449	2021-02-15	None
7	paul.jackson@abc.com	3CvAVdnkcYyk/aqART0MHw9/1Udih5WTJk8Q7N7Fy2E=	FamF9r+iSLE+ivuQgcACtg==	3649	Jackson	Paul	S	1916-11-18	CruzMedicalCenter	Pfizer-IK1184	2021-01-20	Pfizer-IK1184	2021-02-17	None
8	donald.domingo@abc.com	i4A7rfxjkbG/c2UK2XX1VwIlPrG9lc9pH+Fw4LJ+KYw=	B/uGaPJDHJyJV5ClhpB1aw==	3133	Domingo	Donald	S	1934-10-12	GarciaHospital	Moderna-QQ3970	2020-11-21	Moderna-QQ3970	2021-05-01	None
9	anthony.peralta@abc.com	+p44PphBNTmCkS5KbhNnmBiFAUepaI7M+Av3fImasnY=	VF1ePxb/HK7UEQ5SaHDfWA==	1158	Peralta	Anthony	L	1995-12-31	DomingoMedicalCenter	Pfizer-ZH2326	2020-12-09	Pfizer-ZH2326	2020-12-17	None
10	kimberly.blanc@abc.com	xUeR9FgoQrSPXKGNZMaIw/KW4gMqxWB00b5MlQ39pp0=	kUHnO3R97gDE1zLYQrP5Dw==	2849	Blanc	Kimberly	I	1919-04-24	WestHospital	Pfizer-TH9491	2021-01-17	Pfizer-TH9491	2021-03-19	None
11	kenneth.cruz@abc.com	r6VpelGCYz1fnWfRivNwbRBO+CIJcqvQwDu+25grJoo=	Q4t2Zosf5pr3vwZxQpGQkQ==	9909	Cruz	Kenneth	K	1937-12-02	BlancMedicalCenter	Pfizer-XI1192	2020-12-01	Pfizer-XI1192	2020-12-12	None
12	charles.brown@abc.com	5Dw7DCqmOd2QRF/MUkbGUopiOTMxqKUluENDhcBM0Ps=	t1yCmu0UXFR2u9sqOexDSw==	7625	Brown	Charles	N	1955-10-18	LawrenceMedicalCenter	Pfizer-AD8935	2021-03-14	Pfizer-AD8935	2021-03-25	None
13	laura.martin@abc.com	86ytIStRz6xApsiAnCx2ylHxZ395tvjOb76M8Xu/6fA=	Kg8oScOJx5F2Q/APfXzqCQ==	6568	Martin	Laura	T	1951-03-31	DelanyMedicalCenter	Moderna-HH1745	2020-12-21	Moderna-HH1745	2021-01-01	None
14	susan.jones@abc.com	bVIMy0pyxlx7WbAK5MFw4u5TEWf2Japr7xg6molLsq0=	eRG7iGH/yCicXC2+XJUUAA==	5141	Jones	Susan	J	2001-08-26	MooreHospital	Pfizer-US4682	2021-02-24	Pfizer-US4682	2021-05-01	None
15	sarah.obama@abc.com	NbY3pONHPV4t/AH2WCBlIB5Wnr69KqpXBGPD0cVtezY=	s1RjNTJ8iOMqoFfCOPh7XA==	3873	Obama	Sarah	G	2011-09-28	DomingoHospital	Pfizer-EW3971	2021-01-06	Pfizer-EW3971	2021-01-30	None
16	ryan.curry@abc.com	Mhhm7LYR7rVp+bHE8gkB+2XhUXoNZjUcuz6nQRfmDTs=	W4/FDut0URBKHakBKpMylQ==	7107	Curry	Ryan	Q	1915-10-09	DelanyMedicalCenter	Moderna-BX3975	2020-11-01	Moderna-BX3975	2020-11-23	None
17	ruth.derulo@abc.com	CL9UodzDnVuJn2w6VTHPro41/y303jXwlRdMx37Dcik=	JKyr2Ha8ND+Bgzk9tIkCMA==	5119	Derulo	Ruth	S	1990-09-18	BrownMedicalCenter	Pfizer-LT4356	2020-11-04	Pfizer-LT4356	2020-12-01	None
18	kenneth.rodriguez@abc.com	/kVXBkWtUfV4Vqkg/OgJfrBnjtNVmff33DVns7J322I=	AgUZ+tk2zQMPwaWUI12xEQ==	8796	Rodriguez	Kenneth	D	1961-03-11	TaylorMedicalCenter	Pfizer-WY1536	2020-11-04	Pfizer-WY1536	2020-12-04	None
19	steven.brian@abc.com	O1uXORW1LvkwvYLY1Jm6KTHtDtBGmBy0bij5oHEEKok=	NqsMwqt1hlvOWCukzVPutw==	1048	Brian	Steven	I	2009-08-08	SantosHospital	Pfizer-UL4209	2021-01-15	Pfizer-UL4209	2021-03-05	None
20	lisa.martin@abc.com	N440LSeh+8ZpXkoSlhJRojb3Vexl6ognrdL8a5/gZzc=	rNOKrQ7F38IWHpP6zcpI2Q==	1771	Martin	Lisa	G	1970-06-12	LewisHospital	Pfizer-WK5163	2020-11-02	Pfizer-WK5163	2021-02-05	None
21	sharon.pelosy@abc.com	EavpRdKqfivS0vsZP5p7wSekNLS+D8qT0ce1iuCcy0Q=	NALmhri/y7Nv+vwFgS8CDQ==	9583	Pelosy	Sharon	W	1918-04-28	ClarkHospital	Moderna-PJ1908	2021-03-14	Moderna-PJ1908	2021-03-25	None
22	william.lawrence@abc.com	Dndro/xX+TK+OCoLX2cejU2/ypS0IAvDe8bTCbgJRpw=	A4WglTtoOGjRDTfjv+CR1w==	2178	Lawrence	William	Q	1942-05-27	MendezHospital	Pfizer-CD3173	2020-11-15	Pfizer-CD3173	2020-11-19	None
23	anthony.lewis@abc.com	XkEhvMi8j6ATRTJPQgB87pKTWsKVJfcJ7u34j/mVsA0=	1o2akw+YvF6fW6Ys9SI4ZA==	2465	Lewis	Anthony	R	1960-07-06	ClarkHospital	Pfizer-XO7455	2021-02-05	Pfizer-XO7455	2021-02-24	None
24	william.garcia@abc.com	I3/vqk9CwoKIr+PRdMqbimLjJIdIuUvLgJ8zbDPdT4k=	WaG+HH8nf5kGR65PFZ7WAQ==	4164	Garcia	William	S	1975-07-29	MunezMedicalCenter	Moderna-DU7497	2020-12-10	Moderna-DU7497	2021-01-07	None
25	rebecca.davis@abc.com	SKW8rjD9D8v9lQle8yGSbKUrCJ7qLH8uwq6yq+BHFck=	RGKEQyVoKz8LQ2y27nsVjw==	6516	Davis	Rebecca	P	1971-11-06	FernandezMedicalCenter	Pfizer-PA8121	2021-03-05	Pfizer-PA8121	2021-04-13	None
26	susan.hall@abc.com	YvGdGtU5kWXnkN1+r+yFCxeaxwUkdk3AsKhaJLX1cm0=	u8hwrmdESdrwewzH4ko0LQ==	3398	Hall	Susan	S	2002-02-16	ClarkHospital	Moderna-QL9401	2021-02-11	Moderna-QL9401	2021-03-07	None
27	kenneth.walker@abc.com	dak4z5X5CkyVcMFbjboBTLJcXxtBdxQVF9xJgzgzS6U=	VirZJs4HRMjFdyfie4HlXg==	3352	Walker	Kenneth	B	1954-12-18	CruzHospital	Moderna-FO7777	2021-03-02	Moderna-FO7777	2021-04-16	None
28	barbara.zacharias@abc.com	BzT1yGd1WfVN+U8GjRvelXOTbxP34vP5G2NSKT337ds=	Y9NbrYVRdi1oMEsp175haw==	6152	Zacharias	Barbara	O	2002-07-25	PoppinsMedicalCenter	Moderna-OM7724	2021-03-04	Moderna-OM7724	2021-03-13	None
29	elizabeth.orcales@abc.com	ULfy/hCJVzvjYvdQOA+KykiErqz3D+rbmoZfeaMTq8w=	VXl5xbraDis5uRE5Dvbe9A==	5693	Orcales	Elizabeth	D	1915-04-25	PoppinsMedicalCenter	Moderna-BT9337	2021-01-05	Moderna-BT9337	2021-03-26	None
30	dorothy.harris@abc.com	ATS7n2utS09DhcKACHXd+GLEqbmJErWCSTG0euok0ow=	hr4uUNO4zWc8+EMkg6u3Yg==	5106	Harris	Dorothy	W	1993-08-18	HarmonMedicalCenter	Moderna-QE3363	2021-02-25	Moderna-QE3363	2021-04-15	None
31	edward.lewis@abc.com	BKCv5jZTCADDQqqNdlyG0FA11reKlZ81Tp6rgjjtttY=	si12Y7iib7v5SuBryoARuA==	1578	Lewis	Edward	E	2002-05-30	CurryMedicalCenter	Pfizer-DV5022	2021-02-17	Pfizer-DV5022	2021-04-03	None
32	kimberly.wilson@abc.com	zAVR1+cwv4brCJdzPve1MKhAphiHGnbu8T3JL1tDEbk=	Mud21Nw4f+3hAMVZMVXUdg==	7520	Wilson	Kimberly	A	1995-11-04	ZachariasHospital	Pfizer-KZ6924	2020-12-17	Pfizer-KZ6924	2021-04-14	None
33	susan.sanchez@abc.com	SE2qLoqy/TBDXb6Kj8ptk9oG7AkPOUUIUJhEZnUpSog=	3tRq1J0/7csW4fKzkvEHyg==	8052	Sanchez	Susan	L	1989-03-10	CunetaMedicalCenter	Pfizer-DR6096	2021-01-02	Pfizer-DR6096	2021-01-07	None
34	daniel.delany@abc.com	L97ZbeFoRUvZRKbsHoT47ugN3EW/M/5pyvCtdsgCC/A=	f2to3+RuZjU1sWcKlQXAYg==	4464	Delany	Daniel	R	1990-01-23	AndersonMedicalCenter	Pfizer-YC1677	2021-01-18	Pfizer-YC1677	2021-01-22	None
35	sandra.zacharias@abc.com	FAReW1WczqCW2voqReYxpa8MoJsGN1FWTXBnIikQhBg=	g65Sff0vTHqlzN3q1JnEeQ==	9563	Zacharias	Sandra	K	1968-03-05	MooreMedicalCenter	Pfizer-WS7382	2021-03-19	Pfizer-WS7382	2021-04-01	None
36	mark.lewis@abc.com	/iHQSGpPAX4hxqeBNdEXtjo7zgFwBP5S3JFuAhvs8zU=	L9gDum25XzdPGhHqJxG/+g==	7320	Lewis	Mark	H	1910-08-23	MooreMedicalCenter	Pfizer-LN5924	2021-01-07	Pfizer-LN5924	2021-03-25	None
37	nancy.peralta@abc.com	qleRIgEO/v8xeEINssY+9gfSHvy4yTZSdUfBuHl3NwU=	4DNIAJXt8ruxY203NzWYSg==	6295	Peralta	Nancy	Z	1957-02-05	MillerHospital	Moderna-ET5613	2020-12-29	Moderna-ET5613	2021-01-23	None
38	ashley.cruz@abc.com	cHrCDpZ9/3aS+Fy3PSzK5+eS1tyN+XcNBJAxW48iueU=	iNFyUv56Fa6lTVgbXTFU7Q==	5076	Cruz	Ashley	N	2002-06-03	BrianHospital	Moderna-EB4928	2020-12-25	Moderna-EB4928	2021-01-19	None
39	amanda.brian@abc.com	F1V2UolvotbJlOexqZ6kMEqZeSjtr/0tbxT7Lp/g1qQ=	EemOoiNGo69kVo+yZ7IuFQ==	1998	Brian	Amanda	E	1965-09-29	MunezMedicalCenter	Pfizer-FW5912	2021-03-22	Pfizer-FW5912	2021-04-21	None
40	sharon.wilson@abc.com	iKjeePD3/PSfsgGXPZDg7Ht/ArkA8LBqyCwAqXHGXuc=	H+nNlvk2GLftaEQpdsZiYA==	8690	Wilson	Sharon	Z	1957-04-17	MunezMedicalCenter	Pfizer-RD9980	2021-01-18	Pfizer-RD9980	2021-03-31	None
41	jason.lee@abc.com	0P69WnKE+N8pcr1hCF9xk9EIeR1dhG4HY0yVSerF+40=	ELWtkkXU1sAdXihlzXCaIw==	7573	Lee	Jason	D	2000-10-09	MendezHospital	Moderna-PC8279	2020-11-22	Moderna-PC8279	2021-04-06	None
42	sandra.west@abc.com	Ae9vM0DsTtuvKptqpKvxfZOMT/8ggLPByjpZLSt4q70=	1CTI+7ePfSdt8Y+9BnqI1w==	9349	West	Sandra	D	1950-12-31	ThompsonMedicalCenter	Moderna-WO1494	2021-03-11	Moderna-WO1494	2021-03-30	None
43	sharon.bana@abc.com	51uTvQOJOU8HJvnKoFsy2+IxuuZCVwSsEnBXRaDKQJU=	iB3/CbChnSu5KTbfqcP4sg==	8003	Bana	Sharon	I	1995-02-28	CruzMedicalCenter	Moderna-VL9643	2021-03-16	Moderna-VL9643	2021-04-27	None
44	ashley.anderson@abc.com	7x35W1yhKi78VLStajl/UUXJwoCOG3EOkFWq5NkQtus=	/ItRSmkL3nRegozV4fO9Bg==	3211	Anderson	Ashley	R	1956-01-14	ZachariasMedicalCenter	Moderna-IF6825	2020-11-03	Moderna-IF6825	2020-11-21	None
45	ruth.delany@abc.com	ohdJFpu+8sYM3humHVe+Vwc/P0kWHUI/25Rg6/qARHQ=	AilkKMmRa+RmdO9BBQZH+w==	1320	Delany	Ruth	N	1963-04-29	HallMedicalCenter	Moderna-UW9050	2021-01-25	Moderna-UW9050	2021-05-02	None
46	dorothy.poppins@abc.com	masJN9DDCGfOXHIqM6ozAeZ8JUFdxz+iIcCQzCgi5OM=	WDwY69i+DnajmLytgQluDQ==	3670	Poppins	Dorothy	D	2008-04-22	MartinezMedicalCenter	Pfizer-JE3139	2020-12-24	Pfizer-JE3139	2021-01-31	None
47	jeffrey.hall@abc.com	xM/c9jCSq395Uklp69nKAcTj7ru3C3Fkmp2cwZ4tZzM=	ujEjFv5++jkVB4jNViE6kg==	4955	Hall	Jeffrey	O	1946-01-05	MartinezMedicalCenter	Moderna-MF9507	2021-01-11	Moderna-MF9507	2021-03-13	None
48	paul.blanc@abc.com	RGB1NhVscRtfD6OzqQYBfenMcHVKVS8BxNL4g26K4sY=	Q/bfKD15hvGHHZ7mOCg6lQ==	2657	Blanc	Paul	T	1962-09-24	DelanyHospital	Pfizer-ZV2581	2021-03-07	Pfizer-ZV2581	2021-04-29	None
49	richard.mendez@abc.com	H6IeFShr5qyVb9aSrWsgXazja8+gjBf6WjRROFmcH9k=	LPGfFDgJQg2AFiV3sC5/Zw==	4025	Mendez	Richard	P	1961-08-22	DeruloHospital	Moderna-WM3748	2021-01-27	Moderna-WM3748	2021-02-20	None
50	bethy.watson@abc.com	/CRNPrkEzzKH/x6ZAJDD/WV+8BgoUU+PF5/gHbhyKL4=	MbRfktfz0wzQSlp9rys5Aw==	8217	Watson	Bethy	Y	2010-08-25	WilliamsHospital	Moderna-XU3292	2021-02-09	Moderna-XU3292	2021-02-21	None
51	patricia.bana@abc.com	eCP1yl4cn8Ruu/SUOYb2ou1CgUjkL7hPRxoSXr6bvcE=	XVl9QszJyO+7UoCpzSG6wA==	3598	Bana	Patricia	P	1938-01-29	MendezMedicalCenter	Pfizer-LJ7769	2020-11-16	Pfizer-LJ7769	2020-12-04	None
52	kimberly.domingo@abc.com	5apzWiHlvj5UiY/680U1FCkcjnwcGEEI/AIHta6dZB4=	khT+Io9rqx9UCH9I32/zWg==	9473	Domingo	Kimberly	B	2018-02-06	MillerMedicalCenter	Moderna-OJ8237	2021-02-21	Moderna-OJ8237	2021-03-08	None
53	elizabeth.white@abc.com	ezRGQAFExFnXFcmZWk2lZO6C2wEr3CkWsB/wCzVEwJM=	Cuum5193V/GHlllMyr5hLw==	7620	White	Elizabeth	K	1962-08-18	TaylorMedicalCenter	Moderna-XJ9137	2020-12-11	Moderna-XJ9137	2021-01-10	None
54	patricia.taylor@abc.com	TQizB/gvMudD+sanJ+pkkPpfppu7NuSvUtHQCThYCe8=	PacqhdZcqTROrBiURdqQmQ==	7600	Taylor	Patricia	R	1931-11-20	LawrenceHospital	Moderna-WM5333	2020-12-28	Moderna-WM5333	2021-02-14	None
55	kevin.miller@abc.com	i9PD/pefuWidRh719iJC+qBhla3siFnUaOAEXG0AtHQ=	gjyIs/EhTgnVm/obK2X21w==	8491	Miller	Kevin	G	1975-07-12	WilliamsHospital	Pfizer-LA7372	2021-03-08	Pfizer-LA7372	2021-04-04	None
56	george.curry@abc.com	r4iXYECCpRfqRC4rsjADAFcki19g7+NGJsy1pADE/2o=	zPr8zTs1q3UXAVDo6jRsaQ==	1885	Curry	George	Y	2003-12-07	MendezHospital	Moderna-VD3352	2021-03-04	Moderna-VD3352	2021-04-09	None
57	mary.davis@abc.com	v+S4BTRjWF6LGc/lRyutYHfC3R1JE6z/JtHaM/LBsZo=	qP03/2pwT2GkXOjR1+aYcQ==	3539	Davis	Mary	B	2008-07-24	BrownHospital	Pfizer-VD3452	2021-01-17	Pfizer-VD3452	2021-04-20	None
58	helen.harmon@abc.com	4TRkmfzOui7qZEi6BnsvZ9TWi5eoSetGtzDnRP6ZVA8=	m4izg46JkTW4NmeOFYTxLA==	5259	Harmon	Helen	P	1934-07-26	MendezHospital	Pfizer-GG1828	2021-03-11	Pfizer-GG1828	2021-05-03	None
59	lisa.obama@abc.com	NHOS9xMVhn/XiN6DZhX6b26Qymtjnbv77+jtfsdC5/Y=	15VGmZxdB81T15h5wU5uZg==	8454	Obama	Lisa	W	1973-11-29	MooreMedicalCenter	Pfizer-DL4932	2021-02-03	Pfizer-DL4932	2021-02-09	None
60	ashley.mendez@abc.com	7w+TqqRAmreS4srNdmnp1pnlhO0vZ0R95O0k6UBNLDE=	UFQbrYAd4uIBXzHUdkdxkQ==	6731	Mendez	Ashley	B	2016-08-18	OrcalesHospital	Moderna-KR8906	2021-01-14	Moderna-KR8906	2021-02-19	None
61	jennifer.lawrence@abc.com	h6uGCs84agKNomaz0xsD6NF3GdGTKMdw7EO/cvM6s18=	oJYc8+BsfeZRULZ4m2zlWw==	9814	Lawrence	Jennifer	P	1941-09-13	JacksonHospital	Moderna-CB5599	2021-02-10	Moderna-CB5599	2021-04-01	None
62	daniel.sinatra@abc.com	0PY650IwQDuvXzyGBCO9i/Xi7wMXJ7z7THfs6Jv/m5Y=	5/qSTCgoacuyi5qJoGrwaQ==	5182	Sinatra	Daniel	D	1985-10-21	SmithMedicalCenter	Moderna-CW5155	2021-02-08	Moderna-CW5155	2021-02-28	None
63	richard.harris@abc.com	hFd6Spx4SsPiUg9XVlpQILqRTFp4FeQK9TbSpiIUSfs=	Mn8J8QaN9W9xCfYwSXDgFg==	6702	Harris	Richard	F	1936-03-16	MooreHospital	Pfizer-KX1993	2020-11-16	Pfizer-KX1993	2021-04-19	None
64	donna.west@abc.com	P/T9DH/dgH+tSobX8m5dtEBW14CVW3oHe+MY+tw+d3U=	o3xzo6WI7WP+uSlOkuNbmQ==	1702	West	Donna	Z	1984-01-30	BrianMedicalCenter	Moderna-ZK1856	2020-11-25	Moderna-ZK1856	2021-01-08	None
65	elizabeth.martin@abc.com	EeS/OtvE4OEq3TZ1mhV/NUzE+SCVv/i6nFBGpbDRG7M=	yytpLlSQueOOruBIdPFg1g==	6061	Martin	Elizabeth	Q	1928-05-04	ZachariasHospital	Pfizer-OU8581	2020-11-11	Pfizer-OU8581	2021-05-03	None
66	sarah.moore@abc.com	ZsXSnDClQCDhM96q06COsAvgKbypJe+8jSdPcIEOAaU=	jz2NJGaWfHZgaQlK70p0Rw==	6201	Moore	Sarah	B	1982-01-24	MartinezMedicalCenter	Moderna-CF3343	2021-02-18	Moderna-CF3343	2021-03-15	None
67	andrew.sinatra@abc.com	LIpGc5KQjfec5maxAnf5rKjXPVJfggSDmS2dJilBIC4=	fvG9WvyvRls3FmLtsdfmtA==	7647	Sinatra	Andrew	I	1971-01-08	DelanyHospital	Moderna-WO5455	2020-12-22	Moderna-WO5455	2021-02-02	None
68	emily.taylor@abc.com	YKbzv/Q7JHMYF1KRrUHZIiePmdpqyeH9P22On0am3Ns=	PahOZZHU4cuvBVyxjHzlow==	5688	Taylor	Emily	O	1953-07-13	WhiteHospital	Pfizer-OA7897	2020-11-10	Pfizer-OA7897	2021-03-09	None
69	brian.garcia@abc.com	rbWMc09s6edWoFJhf8L4tZ5zPdcqTz0vLm0bkgwShD0=	wBFfGnD3mwyxzc9IfkXu3Q==	5975	Garcia	Brian	J	1952-04-13	BrownMedicalCenter	Moderna-SF6178	2020-12-06	Moderna-SF6178	2021-03-20	None
70	linda.jones@abc.com	7T+WX9JVz9Fx+gkvwr/tOQFb2+PFlYs+XFgz6vKLbi0=	mpeXJ7TtA/MMokKOcDuqEA==	9894	Jones	Linda	Z	1967-09-24	BrianMedicalCenter	Pfizer-VL7992	2021-03-07	Pfizer-VL7992	2021-04-06	None
71	carol.lawrence@abc.com	HMRlRJCKm0bxAJ+fdnttMXICOdJPjfBq+PK2GiS33BA=	2t2sktU8WQawmZ4SBCfCSw==	5406	Lawrence	Carol	E	1942-11-19	FernandezHospital	Pfizer-KR4407	2020-12-23	Pfizer-KR4407	2021-02-15	None
72	james.bana@abc.com	lUDlBv2G7jIX7+7swnEsuGL3OlmjWajsme31VRYOUgw=	3OZB8b99Ns9cxheagiZ+NQ==	4629	Bana	James	L	1989-12-19	ThompsonHospital	Moderna-QJ5020	2020-12-19	Moderna-QJ5020	2021-04-19	None
